Bin Number,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
127,1.16E-18,0.108257009,0.7907588,1,1
128,-1.73E-18,0.108214522,0.789708931,1,1
129,1.16E-18,0.108086187,0.789805601,1,1
130,0,0.107725893,0.788676191,1,1
131,1.73E-18,0.109149395,0.787204983,1,1
132,1.16E-18,0.109334673,0.785709324,1,1
133,-1.73E-18,0.11048838,0.784590803,1,1
134,-8.67E-19,0.111672025,0.78407792,1,1
135,1.45E-18,0.107498428,0.782967977,1,1
136,5.78E-19,0.107143339,0.782725545,1,1
137,8.67E-19,0.106688787,0.784097928,1,1
138,-8.67E-19,0.108864879,0.781391973,1,1
139,3.47E-18,0.107741047,0.77969685,1,1
140,5.78E-19,0.108241724,0.778073076,1,1
141,5.78E-19,0.108694346,0.776968414,1,1
142,-2.31E-18,0.108945039,0.777010724,1,1
143,0,0.107471234,0.777825872,1,1
144,-1.16E-18,0.115272341,0.800248168,1,1
145,4.05E-18,0.115364317,0.800440256,1,1
146,3.47E-18,0.1155688,0.801029842,1,1
147,1.16E-18,0.115807446,0.802973383,1,1
148,-1.73E-18,0.115395324,0.802645355,1,1
149,-1.16E-18,0.114695654,0.801360317,1,1
150,5.78E-19,0.116022834,0.798838321,1,1
151,-2.31E-18,0.116656988,0.797204908,1,1
152,-1.16E-18,0.11547661,0.796395054,1,1
153,2.89E-18,0.116348437,0.796979507,1,1
154,4.05E-18,0.116720761,0.79595062,1,1
155,0,0.117262644,0.795490719,1,1
156,2.31E-18,0.117772449,0.795534027,1,1
157,1.16E-18,0.118296646,0.794333248,1,1
158,-5.78E-19,0.119059342,0.792662443,1,1
159,2.31E-18,0.118017926,0.78745063,1,1
160,0,0.116788501,0.78691425,1,1
161,-2.31E-18,0.116679265,0.783833321,1,1
162,5.78E-19,0.116820069,0.783416266,1,1
163,-1.16E-18,0.117545831,0.77803322,1,1
164,1.16E-18,0.118196811,0.775437824,1,1
165,1.16E-18,0.118877564,0.774495175,1,1
166,3.47E-18,0.119455466,0.773363255,1,1
167,-2.31E-18,0.119313041,0.772053426,1,1
168,-2.31E-18,0.119703892,0.75750705,1,1
169,0,0.11992103,0.757459253,1,1
170,1.73E-18,0.12005367,0.757589632,1,1
171,-1.73E-18,0.120777667,0.7541032,1,1
172,1.16E-18,0.120364468,0.753808487,1,1
173,0,0.119289829,0.752100827,1,1
174,2.89E-18,0.120161829,0.751995857,1,1
175,-5.20E-18,0.118541495,0.751367338,1,1
176,0,0.117577772,0.748875187,1,1
177,-1.16E-18,0.116937679,0.74554034,1,1
178,0,0.116973042,0.743383484,1,1
179,0,0.116186189,0.743871961,1,1
180,-2.89E-18,0.115667077,0.741381685,1,1
181,-2.31E-18,0.116742612,0.739037615,1,1
182,3.47E-18,0.116895421,0.739765716,1,1
183,1.73E-18,0.114313591,0.730593304,1,1
184,1.16E-18,0.114057512,0.730115855,1,1
185,0,0.113384563,0.729791585,1,1
186,1.73E-18,0.113244059,0.728954526,1,1
187,1.16E-18,0.113546135,0.729903578,1,1
188,-5.20E-18,0.114180655,0.728205785,1,1
189,-2.89E-18,0.114194908,0.722809239,1,1
190,-2.31E-18,0.113310209,0.725104163,1,1
191,-2.31E-18,0.113390151,0.726488311,1,1
192,-2.31E-18,0.113727686,0.725781337,1,1
193,1.16E-18,0.113242725,0.723049772,1,1
194,2.89E-18,0.113846328,0.721636831,1,1
195,1.73E-18,0.11283119,0.72088751,1,1
196,-1.73E-18,0.112315256,0.718213657,1,1
197,-1.16E-18,0.114498367,0.717634209,1,1
198,1.16E-18,0.113021845,0.718011419,1,1
199,-5.20E-18,0.112563871,0.716169152,1,1
200,-2.31E-18,0.112931637,0.716176664,1,1
201,-2.31E-18,0.112739231,0.687467981,1,1
202,-2.31E-18,0.112739231,0.687467981,1,1
203,-1.73E-18,0.112669477,0.687817979,1,1
204,-5.78E-19,0.112908782,0.687217071,1,1
205,1.16E-18,0.112689396,0.685981017,1,1
206,0,0.112769299,0.684989784,1,1
207,-4.05E-18,0.112700004,0.683475016,1,1
208,0,0.112057552,0.680182544,1,1
209,-1.16E-18,0.112349781,0.678918395,1,1
210,0,0.112309341,0.677303476,1,1
211,2.89E-18,0.112890074,0.675076322,1,1
212,2.31E-18,0.112827315,0.668170902,1,1
213,-5.20E-18,0.112183316,0.66634289,1,1
214,2.89E-18,0.111720732,0.662730943,1,1
215,4.05E-18,0.111150987,0.661716397,1,1
216,-2.31E-18,0.111429784,0.659968267,1,1
217,-1.73E-18,0.11150242,0.660638816,1,1
218,1.16E-18,0.112379306,0.659326163,1,1
219,1.73E-18,0.112577898,0.655649897,1,1
220,-4.05E-18,0.11210553,0.652235466,1,1
221,2.89E-18,0.111486698,0.651513048,1,1
222,-2.89E-18,0.112247555,0.651732744,1,1
223,1.16E-18,0.111860893,0.651034838,1,1
224,-1.16E-18,0.11138883,0.639777694,1,1
225,5.78E-19,0.112138244,0.639448211,1,1
226,1.16E-18,0.113702664,0.639014184,1,1
227,-1.16E-18,0.113578727,0.637529822,1,1
228,4.05E-18,0.113432293,0.636084014,1,1
229,0,0.112845338,0.634290569,1,1
230,0,0.112987063,0.63260094,1,1
231,-5.78E-19,0.111486533,0.631485428,1,1
232,5.78E-19,0.110060997,0.623766928,1,1
233,2.31E-18,0.110257816,0.624332154,1,1
234,-4.05E-18,0.11049306,0.622386369,1,1
235,5.78E-19,0.110585462,0.620595279,1,1
236,-1.16E-18,0.11061657,0.620387931,1,1
237,1.16E-18,0.109399452,0.611477448,1,1
238,-4.63E-18,0.10946242,0.609189235,1,1
239,0,0.109510479,0.608819829,1,1
240,2.89E-18,0.109246151,0.604792334,1,1
241,1.16E-18,0.10846186,0.601588527,1,1
242,-6.94E-18,0.108139711,0.601199648,1,1
243,-5.78E-19,0.10868289,0.598565814,1,1
244,-2.89E-18,0.111109916,0.599046036,1,1
245,2.31E-18,0.111254325,0.599222025,1,1
246,-2.31E-18,0.110834325,0.597175825,1,1
247,-2.31E-18,0.109839096,0.597779862,1,1
248,1.73E-18,0.110181371,0.596777921,1,1
249,-1.16E-18,0.11039823,0.596874347,1,1
250,2.89E-18,0.110482699,0.597056953,1,1
251,4.63E-18,0.107481441,0.611862524,1,1
252,4.63E-18,0.107481441,0.611862524,1,1
253,2.89E-18,0.107444231,0.61187016,1,1
254,-1.16E-18,0.107893297,0.611310078,1,1
255,1.16E-18,0.10829412,0.609923316,1,1
